"ID_outbreak","OCV_before_1","OCV_before_2","OCV_before_3","OCV_during","OCV_after_1","spatial_scale","Num_doses","Target_pop","Start_date"
"AFR::COD::Nord-Kivu::Rutshuru Health District-2016-03-14-2017-01-01",FALSE,FALSE,FALSE,FALSE,FALSE,"same",89474,"108321","2019-10-30"
"AFR::COD::Nord-Kivu::Rutshuru Health District-2017-05-22-2017-11-26",FALSE,FALSE,FALSE,FALSE,FALSE,"same",89474,"108321","2019-10-30"
"AFR::COD::Nord-Kivu::Karisimbi Health District-2010-02-08-2010-05-02",FALSE,FALSE,FALSE,FALSE,FALSE,"same",305028,"328117","2019-10-30"
"AFR::COD::Nord-Kivu::Karisimbi Health District-2012-01-30-2012-03-25",FALSE,FALSE,FALSE,FALSE,FALSE,"same",305028,"328117","2019-10-30"
"AFR::COD::Nord-Kivu::Karisimbi Health District-2012-10-15-2012-11-25",FALSE,FALSE,FALSE,FALSE,FALSE,"same",305028,"328117","2019-10-30"
"AFR::COD::Nord-Kivu::Karisimbi Health District-2014-06-09-2014-08-03",FALSE,FALSE,FALSE,FALSE,FALSE,"same",305028,"328117","2019-10-30"
"AFR::COD::Nord-Kivu::Karisimbi Health District-2017-06-26-2017-12-03",FALSE,FALSE,FALSE,FALSE,FALSE,"same",305028,"328117","2019-10-30"
"AFR::COD::Nord-Kivu::Karisimbi Health District-2019-05-20-2020-05-31",FALSE,FALSE,FALSE,TRUE,FALSE,"same",305028,"328117","2019-10-30"
"AFR::COD::Nord-Kivu::Karisimbi Health District::Katoyi-2010-01-25-2010-04-11",FALSE,FALSE,FALSE,FALSE,FALSE,"larger",305028,"328117","2019-10-30"
"AFR::COD::Nord-Kivu::Karisimbi Health District::Majengo-2010-02-08-2010-05-16",FALSE,FALSE,FALSE,FALSE,FALSE,"larger",305028,"328117","2019-10-30"
"AFR::COD::Lomami::Ngandajika Health District-2018-01-22-2018-03-25",FALSE,FALSE,FALSE,FALSE,FALSE,"same",57961,"58372","2018-12-13"
"AFR::COD::Lomami::Ngandajika Health District-2018-10-22-2019-02-10",FALSE,FALSE,FALSE,TRUE,FALSE,"same",57961,"58372","2018-12-13"
"AFR::COD::Lomami::Mulumba Health District-2017-10-30-2018-01-28",FALSE,FALSE,FALSE,FALSE,FALSE,"same",46230,"46440","2018-12-13"
"AFR::COD::Lomami::Mulumba Health District-2018-09-10-2019-03-03",FALSE,FALSE,FALSE,TRUE,FALSE,"same",46230,"46440","2018-12-13"
"AFR::COD::Sankuru::Lusambo Health District-2018-07-30-2019-03-03",FALSE,FALSE,FALSE,TRUE,FALSE,"same",68353,"65541","2018-12-13"
"AFR::COD::Sankuru::Lusambo Health District-2019-08-12-2019-10-27",TRUE,TRUE,TRUE,FALSE,FALSE,"same",68353,"65541","2018-12-13"
"AFR::COD::Sankuru::Lusambo Health District-2020-06-08-2020-09-13",FALSE,TRUE,TRUE,FALSE,FALSE,"same",68353,"65541","2018-12-13"
"AFR::COD::Sankuru::Bena Dibele Health District-2018-10-01-2018-12-30",FALSE,FALSE,FALSE,TRUE,FALSE,"same",91573,"89683","2018-12-13"
"AFR::COD::Kasai::Dekese Health District-2017-12-04-2018-02-25",FALSE,FALSE,FALSE,FALSE,FALSE,"same",49194,"49228","2018-12-13"
"AFR::COD::Kasai::Dekese Health District-2018-09-03-2018-10-21",FALSE,FALSE,FALSE,FALSE,FALSE,"same",49194,"49228","2018-12-13"
"AFR::COD::Lomami::Ngandajika Health District-2018-01-22-2018-03-25",FALSE,FALSE,FALSE,FALSE,FALSE,"same",57470,"58372","2019-07-03"
"AFR::COD::Lomami::Ngandajika Health District-2018-10-22-2019-02-10",FALSE,FALSE,FALSE,FALSE,FALSE,"same",57470,"58372","2019-07-03"
"AFR::COD::Lomami::Mulumba Health District-2017-10-30-2018-01-28",FALSE,FALSE,FALSE,FALSE,FALSE,"same",48262,"46440","2019-07-03"
"AFR::COD::Lomami::Mulumba Health District-2018-09-10-2019-03-03",FALSE,FALSE,FALSE,FALSE,FALSE,"same",48262,"46440","2019-07-03"
"AFR::COD::Sankuru::Lusambo Health District-2018-07-30-2019-03-03",FALSE,FALSE,FALSE,FALSE,FALSE,"same",66037,"65541","2019-07-03"
"AFR::COD::Sankuru::Lusambo Health District-2019-08-12-2019-10-27",TRUE,TRUE,TRUE,FALSE,FALSE,"same",66037,"65541","2019-07-03"
"AFR::COD::Sankuru::Lusambo Health District-2020-06-08-2020-09-13",TRUE,TRUE,TRUE,FALSE,FALSE,"same",66037,"65541","2019-07-03"
"AFR::COD::Sankuru::Bena Dibele Health District-2018-10-01-2018-12-30",FALSE,FALSE,FALSE,FALSE,FALSE,"same",91800,"89683","2019-07-03"
"AFR::COD::Kasai::Dekese Health District-2017-12-04-2018-02-25",FALSE,FALSE,FALSE,FALSE,FALSE,"same",49938,"49228","2019-07-03"
